,C,Mn,Si,P,S,Cr,Cu,Ni,V,Al,Ti,Mo,N,B,W,Nb,Sn,Co,Grain Size:,Austenitization Temp:,Austenitization Time:,Ms:,Mf:,Ac1:,Ac3:,Ferrite_1_Time,Pearlite_1_Time,Bainite_1_Time
45WCrV7,0.45,0.3,1.0,0.0,0.0,1.1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,900.0,,320.0,110,775.0,860.0,99.36594543333437,234.51236467793643,21.590074634579295
46Mn7,0.48,1.98,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,290.0,,720.0,775.0,13.211974960367819,16.50980468499646,12.968902516716168
48CrMoV6-7,0.45,0.7,0.3,0.0,0.0,1.5,0.0,0.0,0.3,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,,950.0,,310.0,90,780.0,840.0,659.594625741874,1028.130381323781,71.68391013988565
5,0.256,1.46,1.07,0.011,0.0154,0.99,0.213,0.98,0.0,0.0119,0.0267,0.091,0.0066,0.0031,0.0,0.0,0.0,0.0,,950.0,300.0,358.0,,715.0,830.0,,,31.77720208524078
50 CrMo 4 (SAE 4150),0.5,0.8,0.32,0.017,0.022,1.04,0.17,0.11,0.01,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,300.0,280.0,220,720.0,770.0,89.81017740351595,179.62870100781527,11.22470740821111
50 CrV 4 (SAE 6145),0.47,0.82,0.35,0.035,0.015,1.2,0.14,0.04,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,880.0,300.0,300.0,220,740.0,790.0,15.54493051271145,39.639744004065655,9.425384272824624
50 CrV 4 (SAE 6150),0.55,0.98,0.22,0.017,0.013,1.02,0.07,0.01,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,880.0,300.0,280.0,200,720.0,760.0,820.5203320013371,18.102225006084115,17.81800623329977
50CrMo4,0.5,0.65,0.25,0.0125,0.0175,1.05,0.2,0.0,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,,280.0,,740.0,775.0,38.26242961803705,104.43414854741211,14.28163492878923
50NiCr13,0.5,0.5,0.3,0.0,0.0,1.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,840.0,,220.0,,700.0,760.0,,370.770942603857,86.09131660626784
51,0.801,0.45,0.196,0.011,0.0009,0.093,0.037,0.058,0.001,0.021,0.004,0.013,0.0052,0.0001,0.0,0.001,0.0,0.0,,860.0,30.0,232.0,,732.0,751.0,0.2887988413877941,0.3561752582053504,14.550306913762658
51CrV4,0.5,0.9,0.25,0.0,0.0,1.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,880.0,,290.0,210,730.0,775.0,19.828839491270713,61.92868979659558,13.149793077803471
52,0.81,0.46,0.203,0.02,0.001,0.142,0.032,0.052,0.103,0.03,0.005,0.025,0.0057,0.0001,0.0,0.001,0.0,0.0,,860.0,600.0,193.0,,731.0,757.0,0.6799794883945196,2.247805833548725,64.42363508721373
53MnSi4,0.54,0.95,0.9,0.0175,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,300.0,,740.0,805.0,3.9341897763630946,5.004456437524527,4.912678323605502
54,0.18,0.75,0.4,0.01,0.022,0.35,0.0,0.1,0.0,0.033,0.0,0.5,0.007,0.0,0.0,0.0,0.0,0.0,,950.0,600.0,413.0,,734.0,865.0,,548.9032450921557,13.894954943731369
55,0.16,0.56,0.22,0.01,0.007,1.64,0.0,1.54,0.009,0.03,0.0024,0.31,0.012,0.0002,0.008,0.005,0.0,0.0,,880.0,600.0,405.0,,735.0,825.0,7.909722453744311,2250.0510004419198,1.2357703337409014
55Cr3,0.55,0.85,0.2,0.0125,0.0125,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,,280.0,80,737.0,758.0,15.446489275945092,14.618190494522777,3.300783360146735
55NiCr10,0.52,0.49,0.3,0.0,0.0,0.7,0.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,900.0,300.0,,705.0,755.0,,788.5430290935881,55.722647955071714
56 NiCrMoV 7,0.52,0.7,0.29,0.01,0.01,1.09,0.0,1.72,0.14,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,900.0,270.0,150,710.0,790.0,960.3178598013658,1865.5586614131491,37.63704122972925
56,0.17,0.54,0.2,0.009,0.005,1.64,0.0,1.56,0.01,0.029,0.0025,0.32,0.072,0.002,0.0,0.031,0.0,0.0,,880.0,600.0,410.0,,725.0,820.0,10.904467358880177,1936.0121476543413,0.9082748110833335
56Mn4,0.64,0.92,0.18,0.017,0.005,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,830.0,1200.0,250.0,,725.0,750.0,1.3931568029453032,1.7060823890031238,1.018591388054117
57,0.184,0.75,1.52,0.0,0.0,0.35,0.0,0.108,0.0,0.0335,0.0,0.5,0.0085,0.0,0.0,0.0,0.0,0.0,,1000.0,600.0,415.0,,763.0,956.0,3.879029223021765,1238.42294085185,0.012384229408518507
58CrV4,0.58,0.95,0.25,0.0,0.0,1.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,840.0,,270.0,190,745.0,780.0,,31.04098428019673,28.818901281935005
59CrV4,0.58,0.95,0.25,0.0,0.0,1.1,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,840.0,,270.0,190,745.0,780.0,,31.476510275732785,30.33047380302472
6,0.25,1.52,0.98,0.011,0.012,1.05,0.21,0.23,0.0,0.011,0.0,0.05,0.008,0.0,0.012,0.0,0.001,0.0,,950.0,300.0,360.0,,750.0,850.0,,,2.9339696788068728
60 WCrV 7,0.55,0.34,0.94,0.015,0.012,1.27,0.0,0.12,0.18,0.0,0.0,0.05,0.0,0.0,2.1,0.0,0.0,0.0,,880.0,900.0,310.0,210,780.0,820.0,48.74648020177972,140.90816855117316,22.998638539612113
60MnSiCr4,0.615,1.0,0.9,0.015,0.015,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,600.0,300.0,,740.0,815.0,4.169982459641462,5.61039305893382,9.086345820125413
60NiCrMoV12-4,0.58,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,,190.0,50,710.0,770.0,,1462.5161520687186,870.1563933188905
60WCrV8,0.6,0.3,0.6,0.0,0.0,1.1,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,880.0,,280.0,,780.0,835.0,,37.47748955561453,49.741778753768344
61 CrSiV 5,0.58,0.81,0.89,0.013,0.006,1.27,0.14,0.06,0.11,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,870.0,900.0,270.0,90,740.0,800.0,25.64098519410044,33.029374074625466,25.64098519410044
65Si7,0.65,0.85,1.65,0.0175,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,250.0,,745.0,785.0,1.9897050145794795,3.2871815277554957,7.877095004170819
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,950.0,300.0,370.0,,745.0,860.0,,,0.7693447534197376
80MoCrV42-16,0.81,0.25,0.2,0.0125,0.0075,4.1,0.15,0.0,1.0,0.0,0.0,4.25,0.0,0.0,0.125,0.0,0.0,0.0,,1060.0,,170.0,,808.0,828.0,,666.0846290809162,368.8458655822861
90MnCrV8,0.9,2.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,820.0,,160.0,,725.0,770.0,,19.769696401118615,127.05741052085425
91,0.396,0.578,1.91,0.0094,0.0057,1.34,0.065,0.075,0.0049,0.026,0.0039,0.016,0.0,0.0022,0.0,0.035,0.0,0.0,,920.0,600.0,299.0,,780.0,868.0,0.5815812406980181,18.46008796766368,1.8878784366095522
92,0.565,0.713,1.48,0.007,0.004,0.662,0.022,0.0,0.143,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,1200.0,290.0,,760.0,834.0,2.7052249849275336,,2.269510536694668
93,0.443,0.6442,1.525,0.0075,0.0026,1.354,0.077,0.125,0.066,0.022,0.0037,0.046,0.005,0.0002,0.0,0.0,0.0,0.0,,900.0,600.0,290.0,,780.0,840.0,25.535411282038556,,10.505786516024191
94,0.16,0.56,0.22,0.01,0.007,1.64,0.0,1.54,0.009,0.03,0.0024,0.31,0.012,0.0002,0.008,0.005,0.0,0.0,,880.0,600.0,405.0,,735.0,825.0,8.512750994298012,2131.4312488729483,1.1937766417144364
ASM,0.58,0.25,0.25,0.0,0.0,4.0,0.0,0.0,0.8,0.0,0.0,0.9,0.0,0.0,9.0,0.0,0.0,0.0,,1150.0,,210.0,30,795.0,835.0,6.301756847920012,972.4940319779283,391.01535193882603
C105W2,1.03,0.22,0.17,0.0,0.0,0.07,0.14,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,790.0,,170.0,,717.0,736.0,0.20563594985040803,,4.0460267895402895
C30E,0.3,0.65,0.25,0.0125,0.0175,0.2,0.15,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,410.0,,725.0,825.0,0.3104098428019672,0.541839881654104,0.3281927872511474
C30R,0.31,0.65,0.25,0.0175,0.03,0.2,0.15,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,410.0,,725.0,825.0,0.31683412143248757,0.5314440764581632,0.30492498536654294
C35E,0.35,0.65,0.25,0.0125,0.0175,0.2,0.15,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,410.0,,725.0,820.0,0.30528262924412225,0.5226325534457339,0.3227428894043811
C35EC,0.36,0.65,0.15,0.0125,0.0125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,410.0,,725.0,820.0,0.32391673547410077,0.5535771687323472,0.33611256737280654
C35G,0.36,0.65,0.25,0.0125,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,410.0,,725.0,820.0,0.29372436441613803,0.5368799890082775,0.29931295294419963
C35R,0.36,0.65,0.25,0.0125,0.03,0.2,0.15,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,410.0,,725.0,820.0,0.2994114554870022,0.5471850285662083,0.316824188095949
C45,0.46,0.65,0.25,0.0225,0.0225,0.2,0.15,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,330.0,,730.0,795.0,0.6202306035627282,0.9817960411806925,1.0
C45E,0.46,0.65,0.25,0.0125,0.0175,0.2,0.15,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,340.0,,730.0,795.0,0.6760199524761186,1.0,0.9456022611260966
C45EC,0.46,0.65,0.15,0.0125,0.0125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,340.0,,730.0,795.0,0.6698065144087431,1.037105135545132,0.7471670675868078
C45U,0.46,0.7,0.28,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,340.0,,730.0,795.0,0.599970576547629,0.9128099147531648,0.774577676251794
C55E,0.56,0.75,0.25,0.0125,0.0175,0.2,0.15,0.2,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,840.0,,300.0,,770.0,825.0,1.0573837535271058,1.273526767417955,1.0573837535271058
C55R,0.56,0.75,0.25,0.0125,0.03,0.2,0.15,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,840.0,,300.0,,770.0,825.0,1.0373256560072663,1.3654585292519161,1.4164251646069603
C55S,0.55,0.75,0.25,0.0125,0.0125,0.2,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,840.0,,300.0,,770.0,825.0,1.018591388054117,1.2941958414499863,2.1281390459827123
C60R,0.61,0.75,0.25,0.0125,0.03,0.2,0.15,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,810.0,,230.0,,725.0,770.0,2.1941678196492505,1.668100537200059,3.8663537521924116
C60U,0.6,0.7,0.28,0.0175,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,810.0,,240.0,,730.0,770.0,1.8568409425327836,1.6347025315196837,3.091139302832949
C67,0.685,0.75,0.25,0.0225,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,810.0,1200.0,250.0,,735.0,775.0,1.4475799869555956,1.344355276904818,5.584547018776936
C70D2,0.76,0.29,0.22,0.0,0.0,0.11,0.17,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,600.0,205.0,20,720.0,740.0,3.1874163023189213,0.7664020738465532,7.3548694037705
C70D3,0.76,0.29,0.22,0.0,0.0,0.11,0.17,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,860.0,600.0,210.0,30,720.0,740.0,3.212269610437351,0.7126249694963014,8.38891361127338
C70G,0.76,0.29,0.22,0.0,0.0,0.11,0.17,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,810.0,600.0,230.0,20,720.0,740.0,1.202619399337043,0.5644202205386026,1.3684153863690731
C76D2,0.76,0.29,0.22,0.0,0.0,0.11,0.17,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,810.0,600.0,240.0,20,720.0,740.0,1.2460670191231278,0.5664801721729403,1.390951867453597
C85S,0.85,0.55,0.2,0.0125,0.0125,0.2,0.0,0.2,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,800.0,,210.0,,725.0,760.0,,0.9460693078830562,1.9450221819431845
Carburized En 33 (2)_p104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,770.0,1800.0,150.0,,680.0,,9.38676307432443,25.463591689950086,9.38676307432443
Carburized En 33_p104,0.95,0.4,0.26,0.0,0.0,0.36,0.0,2.95,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,18.9,865.0,1800.0,,,690.0,810,3.3259879240681185,16.64540487733382,
Carburized En 34 (2)_p109,0.99,0.56,0.29,0.0,0.0,0.32,0.0,1.61,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,18.9,770.0,1800.0,170.0,,700.0,,,27.585316176291826,8.348533025195428
Carburized En 34_p109,0.99,0.56,0.29,0.0,0.0,0.32,0.0,1.61,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,22.5,865.0,1800.0,130.0,,700.0,,,172.02917010455664,38.58223967419845
Carburized En 351 (3120 at 0.9% C) (2)_p102,0.92,0.93,0.3,0.0,0.0,0.57,0.0,0.9,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,18.9,830.0,1800.0,170.0,,720.0,,,6.272111830128072,14.581194511766363
Carburized En 351 (3120 at 0.9% C)_p102,0.92,0.93,0.3,0.0,0.0,0.57,0.0,0.9,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,18.9,870.0,1800.0,160.0,,720.0,,,7.0352629574941,22.354882161927364
Carburized En 352 (3120 at 1% C) (2)_p103,0.96,0.74,0.26,0.0,0.0,0.84,0.0,1.19,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,18.9,800.0,1800.0,150.0,,710.0,,,29.595990327355477,15.356822687587977
Carburized En 352 (3120 at 1% C)_p103,0.96,0.74,0.26,0.0,0.0,0.84,0.0,1.19,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,18.9,865.0,1800.0,120.0,,710.0,,,36.89173954438243,85.9771811252588
Carburized En 353 (2)_p112,1.0,0.99,0.28,0.0,0.0,1.12,0.0,1.42,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,18.9,800.0,1800.0,140.0,,720.0,,31.524266221251107,118.35067295194685,48.186660501522425
Carburized En 353_p112,1.0,0.99,0.28,0.0,0.0,1.12,0.0,1.42,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,18.9,880.0,1800.0,120.0,,720.0,,50.3648633052627,171.41252532913126,134.1712835479911
Carburized En 354 (4320 at 1% C) (2)_p113,0.97,1.0,0.33,0.0,0.0,1.13,0.0,1.93,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,22.5,820.0,1800.0,180.0,,700.0,,,147.77851817262916,411.9466632098693
Carburized En 354 (4320 at 1% C)_p113,0.97,1.0,0.33,0.0,0.0,1.13,0.0,1.93,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,22.5,870.0,1800.0,160.0,,690.0,,,141.78312645555596,1804.3371437957956
Carburized En 355 (2)_p111,0.93,0.71,0.38,0.0,0.0,1.7,0.0,2.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,31.8,800.0,1800.0,200.0,,700.0,,140.90816855117313,627.8737700530891,184.48346490995627
Carburized En 355_p111,0.93,0.71,0.38,0.0,0.0,1.7,0.0,2.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,31.8,870.0,1800.0,150.0,,700.0,,146.77992676220697,510.8969774506927,464.1588833612779
Carburized En 36 (9310 at 0.7% C) (2)_p106,0.7,0.35,0.16,0.0,0.0,0.96,0.0,3.24,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,18.9,770.0,1800.0,200.0,,680.0,,,46.22827112512941,45.118386683162356
Carburized En 36 (9310 at 0.7% C)_p106,0.7,0.35,0.16,0.0,0.0,0.96,0.0,3.24,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,18.9,860.0,1800.0,185.0,,685.0,,,224.2773109394687,75.78463300432495
Carburized En 36 (9310 at 1% C) (2)_p106,1.0,0.3,0.12,0.0,0.0,0.9,0.0,3.27,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,18.9,770.0,1800.0,150.0,,685.0,,,41.170233802959466,14.330125702369628
Carburized En 36 (9310 at 1% C)_p106,1.0,0.3,0.12,0.0,0.0,0.9,0.0,3.27,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,22.5,860.0,1800.0,100.0,,680.0,,,727.2808086810284,115.83232862547104
Carburized En 39A (9310 at 0.5% C) (2)_p107,0.54,0.34,0.26,0.0,0.0,1.28,0.0,3.92,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,18.9,770.0,1800.0,210.0,,665.0,,270.13381211330045,823.7387069571016,312.41857136026664
Carburized En 39A (9310 at 0.5% C)_p107,0.54,0.34,0.26,0.0,0.0,1.28,0.0,3.92,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,31.8,865.0,1800.0,220.0,,670.0,,747.6256801637684,1832.9807108324364,239.3025731180498
Carburized En 39A (9310 at 1% C) (2)_p108,1.02,0.47,0.27,0.0,0.0,1.22,0.0,4.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,18.9,770.0,1800.0,125.0,,675.0,,,551.9954321281572,84.08745006670887
Carburized En 39A (9310 at 1% C)_p108,1.02,0.47,0.27,0.0,0.0,1.22,0.0,4.15,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,31.8,865.0,1800.0,120.0,,670.0,,,1573.588567649025,1904.5516114940826
Carburized En 39B (9315 at 0.6% C) (2)_p110,0.56,0.47,0.18,0.0,0.0,1.16,0.0,4.25,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,18.9,770.0,1800.0,220.0,,675.0,,,2145.6100865542962,1311.1339374215643
Carburized En 39B (9315 at 0.6% C)_p110,0.56,0.47,0.18,0.0,0.0,1.16,0.0,4.25,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,26.7,865.0,1800.0,190.0,,675.0,,,3926.9864788746922,1473.3869932757184
Carburized En 39B (9315 at 0.9% C) (2)_p110,0.93,0.5,0.3,0.0,0.0,1.18,0.0,4.25,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,18.9,770.0,1800.0,125.0,,665.0,,3051.6595595401805,9094.166194309788,252.3840212254988
Carburized En 39B (9315 at 0.9% C)_p110,0.93,0.5,0.3,0.0,0.0,1.18,0.0,4.25,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,18.9,865.0,1800.0,110.0,,660.0,,,,5899.746255923562
Cf 35,0.36,0.65,0.2,0.0125,0.0175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,850.0,,410.0,,725.0,820,0.3099214836091842,0.5413931867286399,0.42514098501490294
Cf70,0.76,0.29,0.22,0.0,0.0,0.11,0.17,0.07,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,,810.0,600.0,240.0,30,720.0,740,1.0773639999927063,0.5612946962240882,2.9461554862570964
Ck 45 0.44% C - 0.66% Mn (SAE 1042),0.44,0.66,0.22,0.022,0.029,0.15,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1050.0,300.0,350.0,220,730.0,780,1.1821656367162616,2.4870993610759164,1.5624599099570886
Dominial,1.2,0.275,0.225,0.0175,0.0175,0.2,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,800.0,,170.0,,730.0,760,,1.0966130367085785,1.0765711158857074
"En 100 (8640,8740)_p101",0.4,1.34,0.21,0.0,0.0,0.53,0.0,1.03,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,44.9,845.0,1800.0,290.0,,690.0,780,271.6921428536775,3892.81434249953,11.612045319011491
En 11 (5060)_p96,0.59,0.66,0.34,0.0,0.0,0.65,0.0,0.17,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,22.5,840.0,1800.0,280.0,,745.0,760,13.052763804649027,34.6143514069168,6.243879965653626
En 110 (4340)_p100,0.39,0.62,0.23,0.0,0.0,1.11,0.0,1.44,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,31.8,845.0,1800.0,320.0,,720.0,770,234.16384086484516,1941.3337677494414,11.88930795425959
En 111 (3135)_p98,0.37,0.89,0.28,0.0,0.0,0.63,0.0,1.24,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,22.5,845.0,1800.0,320.0,,700.0,800,6.681088898486457,125.24479150951842,2.872423509034238
En 13 (8717)_p99,0.19,1.37,0.14,0.0,0.0,0.2,0.0,0.56,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,31.8,870.0,1800.0,420.0,,680.0,840,8.547984528840411,1247.936205471311,1.4135155848353955
En 14B (1527)_p95,0.29,1.67,0.26,0.0,0.0,0.12,0.0,0.21,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,22.5,860.0,1800.0,380.0,,700.0,820,2.7157156655968824,44.96685997870469,2.2991655734626746
En 15 (1536)_p95,0.33,1.54,0.23,0.0,0.0,0.15,0.0,0.18,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,22.5,860.0,1800.0,340.0,,715.0,820,2.2086635025323873,22.713041982219565,1.965722764804909
En 16 (4032)_p97,0.33,1.48,0.18,0.0,0.0,0.16,0.0,0.26,0.0,0.0,0.0,0.27,0.0,0.0,0.0,0.0,0.0,0.0,26.7,845.0,1800.0,340.0,,720.0,810,29.017206585383644,1294.2947662613353,3.7199698423443874
En 17 (4037)_p97,0.38,1.49,0.25,0.0,0.0,0.14,0.0,0.24,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,22.5,845.0,1800.0,330.0,,720.0,820,150.00763370184407,503.9983907936147,8.337822234717894
En 18 (5150)_p96,0.48,0.86,0.25,0.0,0.0,0.98,0.0,0.18,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,53.4,860.0,,300.0,,740.0,780,14.572095627426394,56.30203715091542,7.780102611956167
En 19 (4140)_p98,0.41,0.67,0.23,0.0,0.0,1.01,0.0,0.2,0.0,0.0,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,18.9,860.0,1800.0,310.0,,720.0,800,15.788726707083706,111.0336318167638,1.7698395026962457
En 20 (2)_p99,0.41,0.58,0.28,0.0,0.0,1.39,0.0,0.15,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,26.7,870.0,1800.0,300.0,,760.0,780,165.06657403533328,1714.297699347859,9.227677385199854
En 20_p99,0.27,0.6,0.13,0.0,0.0,0.74,0.0,0.19,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,22.5,875.0,1800.0,390.0,,740.0,840,12.554236986668043,838.2761242479182,1.2323265532991716
En 21 (2330)_p98,0.33,0.74,0.23,0.0,0.0,0.07,0.0,3.47,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,26.7,840.0,1800.0,310.0,,670.0,750,62.91880821827274,14006.881788178685,11.400150089399922
En 23 (3435 + Mo)_p100,0.32,0.61,0.28,0.0,0.0,0.63,0.0,3.22,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,31.8,830.0,1800.0,310.0,,680.0,760,2192.637922475772,5731.518784461494,19.274684472224585
En 24 (4340)_p101,0.38,0.69,0.2,0.0,0.0,0.95,0.0,1.58,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,31.8,835.0,1800.0,320.0,,720.0,790,299.10727209094597,3190.19179629054,21.67094563279022
En 25 (3430 + Mo)_p100,0.31,0.62,0.2,0.0,0.0,0.64,0.0,2.63,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,0.0,37.8,835.0,1800.0,320.0,,700.0,780,2275.8459260747873,7367.954559661624,23.29951810515372
En 26 (4340)_p101,0.42,0.67,0.31,0.0,0.0,0.72,0.0,2.53,0.0,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0,37.8,830.0,1800.0,290.0,,680.0,780,6913.447297558563,17653.033217698136,109.18624711418224
